,Model name,X_train,X_test,X_test1,X_test2,X_test3,X_test4,Epochs,Number of parameters,Batches,Learning rate,Train duration,Rotation range,Shear range,Shift range,Hor flip,Ver flip,Zoom range,Fill mode,Number of classes,Regularization Strength
0,20.11.2017 14:18:19,0.9567567568,0.5734234234,0.8432432432,0.381981982,0.6504504505,0.418018018,200,15401839,64,0.01,328,0.5,0,0.4,False,False,0.5,reflect,111,
0,20.11.2017 14:25:9,0.9657657658,0.5972972973,0.8522522523,0.4540540541,0.6882882883,0.3945945946,200,15401839,64,0.01,327,0,0,0.4,False,False,0.5,reflect,111,
0,20.11.2017 14:30:41,0.9441441441,0.5662162162,0.7873873874,0.3333333333,0.5945945946,0.5495495495,200,15401839,64,0.01,327,45,0,0.4,False,False,0.5,reflect,111,
0,20.11.2017 14:36:14,0.9063063063,0.5355855856,0.7801801802,0.1405405405,0.5135135135,0.7081081081,200,15401839,64,0.01,327,90,0,0.4,False,False,0.5,reflect,111,
0,20.11.2017 14:41:47,0.7477477477,0.4288288288,0.5945945946,0.0756756757,0.4036036036,0.6414414414,200,15401839,64,0.01,327,135,0,0.4,False,False,0.5,reflect,111,
0,20.11.2017 14:47:20,0.8144144144,0.5067567568,0.7225225225,0.0990990991,0.4468468468,0.7585585586,200,15401839,64,0.01,327,180,0,0.4,False,False,0.5,reflect,111,
0,20.11.2017 15:15:42,0.9747747748,0.613963964,0.8666666667,0.436036036,0.7297297297,0.4234234234,200,15401839,64,0.01,610,0,0,0.4,False,False,0.5,reflect,111,
0,20.11.2017 15:26:1,0.9693693694,0.5657657658,0.8342342342,0.2630630631,0.581981982,0.5837837838,200,15401839,64,0.01,613,45,0,0.4,False,False,0.5,reflect,111,
0,20.11.2017 15:36:21,0.8738738739,0.5085585586,0.7459459459,0.1153153153,0.4810810811,0.6918918919,200,15401839,64,0.01,614,90,0,0.4,False,False,0.5,reflect,111,
0,20.11.2017 15:46:40,0.8630630631,0.5292792793,0.7279279279,0.190990991,0.4684684685,0.7297297297,200,15401839,64,0.01,614,135,0,0.4,False,False,0.5,reflect,111,
0,20.11.2017 15:57:0,0.8612612613,0.5572072072,0.7495495495,0.1585585586,0.5207207207,0.8,200,15401839,64,0.01,614,180,0,0.4,False,False,0.5,reflect,111,
0,20.11.2017 17:14:7,0.9801801802,0.5328828829,0.8234234234,0.1693693694,0.5477477477,0.590990991,2000,15401839,64,0.01,3232,45,0,0.4,False,False,0.2,reflect,111,
0,20.11.2017 18:8:13,0.9405405405,0.5369369369,0.7891891892,0.2594594595,0.5315315315,0.5675675676,2000,15401839,64,0.01,3240,45,0,0.4,False,False,0.35,reflect,111,
